"year","territory","oblast_code","title_count","copy_count","territory_ua"
2005,"Ivano-Frankivsk","UA26000000000069363",114,104.8,"Івано-Франківська"
2005,"Crimea","UA01000000000013043",170,196.3,"Автономна Республіка Крим"
2005,"Volyn","UA07000000000024379",167,175.7,"Волинська"
2005,"Vinnytsia","UA05000000000010236",332,216.8,"Вінницька"
2005,"Dnipro","UA12000000000090473",572,568.9,"Дніпропетровська"
2005,"Donetsk","UA14000000000091971",948,3062.4,"Донецька"
2005,"Zhytomyr","UA18000000000041385",168,85.5,"Житомирська"
2005,"Zakarpattia","UA21000000000011690",121,224.4,"Закарпатська"
2005,"Zaporizhzhia","UA23000000000064947",160,244.7,"Запорізька"
2005,"Kyiv City","UA80000000000093317",6090,26965.2,"Київ"
2005,"Kyiv Oblast","UA32000000000030281",197,3314.7,"Київська"
2005,"Kirovohrad","UA35000000000016081",127,123.6,"Кіровоградська"
2005,"Luhansk","UA44000000000018893",257,110.2,"Луганська"
2005,"Lviv","UA46000000000026241",934,1174.4,"Львівська"
2005,"Mykolaiv","UA48000000000039575",181,72.7,"Миколаївська"
2005,"Odesa","UA51000000000030770",392,220.1,"Одеська"
2005,"Poltava","UA53000000000028050",139,171.7,"Полтавська"
2005,"Rivne","UA56000000000066151",143,100,"Рівненська"
2005,"Sumy","UA59000000000057109",212,110.2,"Сумська"
2005,"Ternopil","UA61000000000060328",429,2550.1,"Тернопільська"
2005,"Kharkiv","UA63000000000041885",2684,13429.4,"Харківська"
2005,"Kherson","UA65000000000030969",25,12.3,"Херсонська"
2005,"Khmelnytskyi","UA68000000000099709",244,153.2,"Хмельницька"
2005,"Cherkasy","UA71000000000010357",176,187.5,"Черкаська"
2005,"Chernivtsi","UA73000000000044923",453,259.3,"Чернівецька"
2005,"Chernihiv","UA74000000000025378",193,149.8,"Чернігівська"
2006,"Ivano-Frankivsk","UA26000000000069363",101,80.6,"Івано-Франківська"
2006,"Crimea","UA01000000000013043",353,434.1,"Автономна Республіка Крим"
2006,"Volyn","UA07000000000024379",224,142,"Волинська"
2006,"Vinnytsia","UA05000000000010236",320,165.3,"Вінницька"
2006,"Dnipro","UA12000000000090473",482,542.7,"Дніпропетровська"
2006,"Donetsk","UA14000000000091971",1193,4411.9,"Донецька"
2006,"Zhytomyr","UA18000000000041385",139,70.3,"Житомирська"
2006,"Zakarpattia","UA21000000000011690",149,201,"Закарпатська"
2006,"Zaporizhzhia","UA23000000000064947",162,105.4,"Запорізька"
2006,"Kyiv City","UA80000000000093317",6049,25298.7,"Київ"
2006,"Kyiv Oblast","UA32000000000030281",94,167.1,"Київська"
2006,"Kirovohrad","UA35000000000016081",87,96,"Кіровоградська"
2006,"Luhansk","UA44000000000018893",219,110.4,"Луганська"
2006,"Lviv","UA46000000000026241",961,1566.3,"Львівська"
2006,"Mykolaiv","UA48000000000039575",150,52.3,"Миколаївська"
2006,"Odesa","UA51000000000030770",595,331.3,"Одеська"
2006,"Poltava","UA53000000000028050",130,80.1,"Полтавська"
2006,"Rivne","UA56000000000066151",116,71,"Рівненська"
2006,"Sumy","UA59000000000057109",337,151.2,"Сумська"
2006,"Ternopil","UA61000000000060328",421,1313.7,"Тернопільська"
2006,"Kharkiv","UA63000000000041885",2619,18143.1,"Харківська"
2006,"Kherson","UA65000000000030969",75,41.5,"Херсонська"
2006,"Khmelnytskyi","UA68000000000099709",258,151.5,"Хмельницька"
2006,"Cherkasy","UA71000000000010357",154,105.3,"Черкаська"
2006,"Chernivtsi","UA73000000000044923",312,116.7,"Чернівецька"
2006,"Chernihiv","UA74000000000025378",167,160.1,"Чернігівська"
2007,"Ivano-Frankivsk","UA26000000000069363",150,47.8,"Івано-Франківська"
2007,"Crimea","UA01000000000013043",320,310.7,"Автономна Республіка Крим"
2007,"Volyn","UA07000000000024379",236,545.4,"Волинська"
2007,"Vinnytsia","UA05000000000010236",253,106.1,"Вінницька"
2007,"Dnipro","UA12000000000090473",612,574.6,"Дніпропетровська"
2007,"Donetsk","UA14000000000091971",1431,9000.1,"Донецька"
2007,"Zhytomyr","UA18000000000041385",189,71.2,"Житомирська"
2007,"Zakarpattia","UA21000000000011690",244,162.6,"Закарпатська"
2007,"Zaporizhzhia","UA23000000000064947",199,153.3,"Запорізька"
2007,"Kyiv City","UA80000000000093317",5978,22390.2,"Київ"
2007,"Kyiv Oblast","UA32000000000030281",181,607.4,"Київська"
2007,"Kirovohrad","UA35000000000016081",82,86.2,"Кіровоградська"
2007,"Luhansk","UA44000000000018893",325,104.9,"Луганська"
2007,"Lviv","UA46000000000026241",915,615.7,"Львівська"
2007,"Mykolaiv","UA48000000000039575",244,71.2,"Миколаївська"
2007,"Odesa","UA51000000000030770",555,277.9,"Одеська"
2007,"Poltava","UA53000000000028050",185,114.4,"Полтавська"
2007,"Rivne","UA56000000000066151",140,78.5,"Рівненська"
2007,"Sumy","UA59000000000057109",315,129.6,"Сумська"
2007,"Ternopil","UA61000000000060328",487,581.3,"Тернопільська"
2007,"Kharkiv","UA63000000000041885",3536,19380.4,"Харківська"
2007,"Kherson","UA65000000000030969",84,30.7,"Херсонська"
2007,"Khmelnytskyi","UA68000000000099709",348,176.9,"Хмельницька"
2007,"Cherkasy","UA71000000000010357",210,134.7,"Черкаська"
2007,"Chernivtsi","UA73000000000044923",508,223.8,"Чернівецька"
2007,"Chernihiv","UA74000000000025378",260,136.1,"Чернігівська"
2008,"Ivano-Frankivsk","UA26000000000069363",194,82.8,"Івано-Франківська"
2008,"Crimea","UA01000000000013043",619,532,"Автономна Республіка Крим"
2008,"Volyn","UA07000000000024379",485,759.3,"Волинська"
2008,"Vinnytsia","UA05000000000010236",335,155.9,"Вінницька"
2008,"Dnipro","UA12000000000090473",668,532.6,"Дніпропетровська"
2008,"Donetsk","UA14000000000091971",1292,2798.6,"Донецька"
2008,"Zhytomyr","UA18000000000041385",168,66.8,"Житомирська"
2008,"Zakarpattia","UA21000000000011690",270,163.8,"Закарпатська"
2008,"Zaporizhzhia","UA23000000000064947",332,217.8,"Запорізька"
2008,"Kyiv City","UA80000000000093317",8020,23429.8,"Київ"
2008,"Kyiv Oblast","UA32000000000030281",241,175.2,"Київська"
2008,"Kirovohrad","UA35000000000016081",83,43.1,"Кіровоградська"
2008,"Luhansk","UA44000000000018893",357,135.6,"Луганська"
2008,"Lviv","UA46000000000026241",1296,1278.9,"Львівська"
2008,"Mykolaiv","UA48000000000039575",210,65.7,"Миколаївська"
2008,"Odesa","UA51000000000030770",608,327.1,"Одеська"
2008,"Poltava","UA53000000000028050",360,625.4,"Полтавська"
2008,"Rivne","UA56000000000066151",326,133.8,"Рівненська"
2008,"Sumy","UA59000000000057109",499,236.2,"Сумська"
2008,"Ternopil","UA61000000000060328",1077,1877.1,"Тернопільська"
2008,"Kharkiv","UA63000000000041885",5057,23640.2,"Харківська"
2008,"Kherson","UA65000000000030969",97,44.7,"Херсонська"
2008,"Khmelnytskyi","UA68000000000099709",371,266.2,"Хмельницька"
2008,"Cherkasy","UA71000000000010357",419,271.2,"Черкаська"
2008,"Chernivtsi","UA73000000000044923",440,192,"Чернівецька"
2008,"Chernihiv","UA74000000000025378",216,97.3,"Чернігівська"
2009,"Ivano-Frankivsk","UA26000000000069363",243,133.1,"Івано-Франківська"
2009,"Crimea","UA01000000000013043",679,1385,"Автономна Республіка Крим"
2009,"Volyn","UA07000000000024379",343,696.4,"Волинська"
2009,"Vinnytsia","UA05000000000010236",371,162,"Вінницька"
2009,"Dnipro","UA12000000000090473",697,311.7,"Дніпропетровська"
2009,"Donetsk","UA14000000000091971",1398,2767.7,"Донецька"
2009,"Zhytomyr","UA18000000000041385",252,131.3,"Житомирська"
2009,"Zakarpattia","UA21000000000011690",272,116.6,"Закарпатська"
2009,"Zaporizhzhia","UA23000000000064947",334,374.6,"Запорізька"
2009,"Kyiv City","UA80000000000093317",6465,16668.3,"Київ"
2009,"Kyiv Oblast","UA32000000000030281",164,115.2,"Київська"
2009,"Kirovohrad","UA35000000000016081",136,65.2,"Кіровоградська"
2009,"Luhansk","UA44000000000018893",403,152.6,"Луганська"
2009,"Lviv","UA46000000000026241",1035,1133.3,"Львівська"
2009,"Mykolaiv","UA48000000000039575",239,103.7,"Миколаївська"
2009,"Odesa","UA51000000000030770",756,363.8,"Одеська"
2009,"Poltava","UA53000000000028050",375,179.6,"Полтавська"
2009,"Rivne","UA56000000000066151",272,111,"Рівненська"
2009,"Sumy","UA59000000000057109",381,235.7,"Сумська"
2009,"Ternopil","UA61000000000060328",825,1876.4,"Тернопільська"
2009,"Kharkiv","UA63000000000041885",5262,20642,"Харківська"
2009,"Kherson","UA65000000000030969",152,42.9,"Херсонська"
2009,"Khmelnytskyi","UA68000000000099709",388,182.3,"Хмельницька"
2009,"Cherkasy","UA71000000000010357",339,168.3,"Черкаська"
2009,"Chernivtsi","UA73000000000044923",469,301.6,"Чернівецька"
2009,"Chernihiv","UA74000000000025378",241,94.1,"Чернігівська"
2010,"Ivano-Frankivsk","UA26000000000069363",203,113.1,"Івано-Франківська"
2010,"Crimea","UA01000000000013043",602,446.4,"Автономна Республіка Крим"
2010,"Volyn","UA07000000000024379",334,641.6,"Волинська"
2010,"Vinnytsia","UA05000000000010236",459,259.4,"Вінницька"
2010,"Dnipro","UA12000000000090473",733,431.4,"Дніпропетровська"
2010,"Donetsk","UA14000000000091971",1464,2867.7,"Донецька"
2010,"Zhytomyr","UA18000000000041385",212,107.6,"Житомирська"
2010,"Zakarpattia","UA21000000000011690",195,97.7,"Закарпатська"
2010,"Zaporizhzhia","UA23000000000064947",350,207.6,"Запорізька"
2010,"Kyiv City","UA80000000000093317",6989,16733.4,"Київ"
2010,"Kyiv Oblast","UA32000000000030281",170,113.9,"Київська"
2010,"Kirovohrad","UA35000000000016081",133,47.5,"Кіровоградська"
2010,"Luhansk","UA44000000000018893",466,207.5,"Луганська"
2010,"Lviv","UA46000000000026241",1424,960.3,"Львівська"
2010,"Mykolaiv","UA48000000000039575",169,54.9,"Миколаївська"
2010,"Odesa","UA51000000000030770",762,373,"Одеська"
2010,"Poltava","UA53000000000028050",278,113.4,"Полтавська"
2010,"Rivne","UA56000000000066151",274,89.6,"Рівненська"
2010,"Sumy","UA59000000000057109",403,191.7,"Сумська"
2010,"Ternopil","UA61000000000060328",822,1127.7,"Тернопільська"
2010,"Kharkiv","UA63000000000041885",4528,18942.8,"Харківська"
2010,"Kherson","UA65000000000030969",125,41.1,"Херсонська"
2010,"Khmelnytskyi","UA68000000000099709",357,190.1,"Хмельницька"
2010,"Cherkasy","UA71000000000010357",408,285.5,"Черкаська"
2010,"Chernivtsi","UA73000000000044923",459,328.1,"Чернівецька"
2010,"Chernihiv","UA74000000000025378",238,85.3,"Чернігівська"
2011,"Ivano-Frankivsk","UA26000000000069363",264,97.2,"Івано-Франківська"
2011,"Crimea","UA01000000000013043",645,351,"Автономна Республіка Крим"
2011,"Volyn","UA07000000000024379",308,182.9,"Волинська"
2011,"Vinnytsia","UA05000000000010236",390,146.8,"Вінницька"
2011,"Dnipro","UA12000000000090473",804,589.8,"Дніпропетровська"
2011,"Donetsk","UA14000000000091971",1348,1908.2,"Донецька"
2011,"Zhytomyr","UA18000000000041385",222,113.4,"Житомирська"
2011,"Zakarpattia","UA21000000000011690",293,117.3,"Закарпатська"
2011,"Zaporizhzhia","UA23000000000064947",421,458.1,"Запорізька"
2011,"Kyiv City","UA80000000000093317",7185,18291.9,"Київ"
2011,"Kyiv Oblast","UA32000000000030281",111,78.8,"Київська"
2011,"Kirovohrad","UA35000000000016081",166,94.8,"Кіровоградська"
2011,"Luhansk","UA44000000000018893",494,169.6,"Луганська"
2011,"Lviv","UA46000000000026241",1373,1170.5,"Львівська"
2011,"Mykolaiv","UA48000000000039575",221,71.4,"Миколаївська"
2011,"Odesa","UA51000000000030770",828,339.7,"Одеська"
2011,"Poltava","UA53000000000028050",297,1116,"Полтавська"
2011,"Rivne","UA56000000000066151",254,109.8,"Рівненська"
2011,"Sumy","UA59000000000057109",461,246.7,"Сумська"
2011,"Ternopil","UA61000000000060328",1023,1703.8,"Тернопільська"
2011,"Kharkiv","UA63000000000041885",3984,18424.8,"Харківська"
2011,"Kherson","UA65000000000030969",135,45.8,"Херсонська"
2011,"Khmelnytskyi","UA68000000000099709",363,185.3,"Хмельницька"
2011,"Cherkasy","UA71000000000010357",442,197.9,"Черкаська"
2011,"Chernivtsi","UA73000000000044923",501,215.5,"Чернівецька"
2011,"Chernihiv","UA74000000000025378",293,138.7,"Чернігівська"
2012,"Ivano-Frankivsk","UA26000000000069363",197,114.3,"Івано-Франківська"
2012,"Crimea","UA01000000000013043",689,451.7,"Автономна Республіка Крим"
2012,"Volyn","UA07000000000024379",293,347.5,"Волинська"
2012,"Vinnytsia","UA05000000000010236",552,209,"Вінницька"
2012,"Dnipro","UA12000000000090473",967,476,"Дніпропетровська"
2012,"Donetsk","UA14000000000091971",1852,3328.3,"Донецька"
2012,"Zhytomyr","UA18000000000041385",224,92.6,"Житомирська"
2012,"Zakarpattia","UA21000000000011690",225,131.6,"Закарпатська"
2012,"Zaporizhzhia","UA23000000000064947",485,211.6,"Запорізька"
2012,"Kyiv City","UA80000000000093317",7537,23411.2,"Київ"
2012,"Kyiv Oblast","UA32000000000030281",149,108.2,"Київська"
2012,"Kirovohrad","UA35000000000016081",184,66.6,"Кіровоградська"
2012,"Luhansk","UA44000000000018893",502,246.7,"Луганська"
2012,"Lviv","UA46000000000026241",1367,1123.7,"Львівська"
2012,"Mykolaiv","UA48000000000039575",173,69.8,"Миколаївська"
2012,"Odesa","UA51000000000030770",726,240.7,"Одеська"
2012,"Poltava","UA53000000000028050",339,119.1,"Полтавська"
2012,"Rivne","UA56000000000066151",261,84.7,"Рівненська"
2012,"Sumy","UA59000000000057109",492,235.3,"Сумська"
2012,"Ternopil","UA61000000000060328",1009,2289.5,"Тернопільська"
2012,"Kharkiv","UA63000000000041885",5885,27817.7,"Харківська"
2012,"Kherson","UA65000000000030969",129,38.6,"Херсонська"
2012,"Khmelnytskyi","UA68000000000099709",475,284.2,"Хмельницька"
2012,"Cherkasy","UA71000000000010357",446,217.1,"Черкаська"
2012,"Chernivtsi","UA73000000000044923",522,248.3,"Чернівецька"
2012,"Chernihiv","UA74000000000025378",356,156.5,"Чернігівська"
2013,"Ivano-Frankivsk","UA26000000000069363",234,134.5,"Івано-Франківська"
2013,"Crimea","UA01000000000013043",730,441,"Автономна Республіка Крим"
2013,"Volyn","UA07000000000024379",317,721.3,"Волинська"
2013,"Vinnytsia","UA05000000000010236",527,236.4,"Вінницька"
2013,"Dnipro","UA12000000000090473",805,458.8,"Дніпропетровська"
2013,"Donetsk","UA14000000000091971",1729,3196.8,"Донецька"
2013,"Zhytomyr","UA18000000000041385",184,75.2,"Житомирська"
2013,"Zakarpattia","UA21000000000011690",163,68.5,"Закарпатська"
2013,"Zaporizhzhia","UA23000000000064947",322,224.6,"Запорізька"
2013,"Kyiv City","UA80000000000093317",7653,29974.4,"Київ"
2013,"Kyiv Oblast","UA32000000000030281",123,65.8,"Київська"
2013,"Kirovohrad","UA35000000000016081",188,113.2,"Кіровоградська"
2013,"Luhansk","UA44000000000018893",366,137.1,"Луганська"
2013,"Lviv","UA46000000000026241",1502,1269.3,"Львівська"
2013,"Mykolaiv","UA48000000000039575",237,67.9,"Миколаївська"
2013,"Odesa","UA51000000000030770",719,487.2,"Одеська"
2013,"Poltava","UA53000000000028050",298,92.3,"Полтавська"
2013,"Rivne","UA56000000000066151",201,72.2,"Рівненська"
2013,"Sumy","UA59000000000057109",511,346.6,"Сумська"
2013,"Ternopil","UA61000000000060328",1023,2660.4,"Тернопільська"
2013,"Kharkiv","UA63000000000041885",6674,27803.1,"Харківська"
2013,"Kherson","UA65000000000030969",267,77.7,"Херсонська"
2013,"Khmelnytskyi","UA68000000000099709",405,313.6,"Хмельницька"
2013,"Cherkasy","UA71000000000010357",460,193.9,"Черкаська"
2013,"Chernivtsi","UA73000000000044923",367,143.3,"Чернівецька"
2013,"Chernihiv","UA74000000000025378",318,200.6,"Чернігівська"
2014,"Ivano-Frankivsk","UA26000000000069363",224,134.7,"Івано-Франківська"
2014,"Crimea","UA01000000000013043",248,120.2,"Автономна Республіка Крим"
2014,"Volyn","UA07000000000024379",257,237.2,"Волинська"
2014,"Vinnytsia","UA05000000000010236",352,128.8,"Вінницька"
2014,"Dnipro","UA12000000000090473",804,402.6,"Дніпропетровська"
2014,"Donetsk","UA14000000000091971",1098,2760.1,"Донецька"
2014,"Zhytomyr","UA18000000000041385",149,58.3,"Житомирська"
2014,"Zakarpattia","UA21000000000011690",229,160.4,"Закарпатська"
2014,"Zaporizhzhia","UA23000000000064947",385,122.7,"Запорізька"
2014,"Kyiv City","UA80000000000093317",6381,20149.9,"Київ"
2014,"Kyiv Oblast","UA32000000000030281",105,56.1,"Київська"
2014,"Kirovohrad","UA35000000000016081",185,65,"Кіровоградська"
2014,"Luhansk","UA44000000000018893",281,101.1,"Луганська"
2014,"Lviv","UA46000000000026241",1360,1175.4,"Львівська"
2014,"Mykolaiv","UA48000000000039575",193,69.3,"Миколаївська"
2014,"Odesa","UA51000000000030770",686,234.4,"Одеська"
2014,"Poltava","UA53000000000028050",246,79.6,"Полтавська"
2014,"Rivne","UA56000000000066151",206,113.6,"Рівненська"
2014,"Sumy","UA59000000000057109",487,525.6,"Сумська"
2014,"Ternopil","UA61000000000060328",963,3987.1,"Тернопільська"
2014,"Kharkiv","UA63000000000041885",5408,23525.7,"Харківська"
2014,"Kherson","UA65000000000030969",290,80.8,"Херсонська"
2014,"Khmelnytskyi","UA68000000000099709",444,308.6,"Хмельницька"
